,zinc_id,smiles,Molecule Name,ROMol
77,ZINC000003806063,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,"2-benzyl-5-(2-fluorophenyl)-1,3,4-oxadiazole",<rdkit.Chem.rdchem.Mol object at 0x0000019233209660>
78,ZINC000000004448,Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,2-[(4-methylphenyl)sulfonylamino]-5-(phenylmethoxycarbonylamino)pentanoic acid,<rdkit.Chem.rdchem.Mol object at 0x00000192332096D0>
79,ZINC000009212654,CC1=C(/C=C/C(C)=C\C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,N-(4-fluoro-3-nitrophenyl)-2-[2-oxo-2-(propan-2-ylamino)ethyl]sulfanylbenzamide,<rdkit.Chem.rdchem.Mol object at 0x0000019233209740>
80,ZINC000000538564,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,6-ethyloct-5-en-2-one,<rdkit.Chem.rdchem.Mol object at 0x00000192332097B0>
81,ZINC000118913562,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@H](O)C[C@@]21C,"2-[3-[[4-(4,5-difluoro-1-benzofuran-7-yl)phenoxy]methyl]-N-(2-methylsulfonylethyl)anilino]acetic acid",<rdkit.Chem.rdchem.Mol object at 0x0000019233209820>
82,ZINC000019632718,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1,"N-(6-tert-butyl-3-cyano-4,5,6,7-tetrahydro-1-benzothiophen-2-yl)-2-[[5-[(4-tert-butylphenoxy)methyl]-4-ethyl-1,2,4-triazol-3-yl]sulfanyl]acetamide",<rdkit.Chem.rdchem.Mol object at 0x0000019233209890>
83,ZINC000000897251,COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2,2-(4-methylphenoxy)-N-(2-morpholin-4-ylphenyl)acetamide,<rdkit.Chem.rdchem.Mol object at 0x0000019233209900>
84,ZINC000000968326,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,2-(3-methylphenoxy)-N-(3-nitrophenyl)acetamide,<rdkit.Chem.rdchem.Mol object at 0x0000019233209970>
85,ZINC000000968345,CC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,"N-(1,3-dioxoisoindol-2-yl)-2-(3-methylphenoxy)acetamide",<rdkit.Chem.rdchem.Mol object at 0x00000192332099E0>
86,ZINC000001554588,CC(=O)NCCCS(=O)(=O)O,"(5S)-2-[2-[[5-(4-bromophenyl)furan-2-yl]methylidene]hydrazinyl]-5-[(4-chlorophenyl)methyl]-1,3-thiazol-4-one",<rdkit.Chem.rdchem.Mol object at 0x0000019233209A50>
87,ZINC000003830569,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,"ethyl 2-(7-methoxy-1-methyl-9H-pyrido[3,4-b]indol-2-ium-2-yl)acetate",<rdkit.Chem.rdchem.Mol object at 0x0000019233209AC0>
88,ZINC000000592419,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,cycloheptane;cyclopentane;nickel,<rdkit.Chem.rdchem.Mol object at 0x0000019233209B30>
